"arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat"
"279763516","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","Q","114","0","25-44","M","BLACK","1008735","213681","40.75315","-73.911622","POINT (-73.911622 40.75315)"
"279760042","2023-12-31T00:00:00.000","478","THEFT OF SERVICES, UNCLASSIFIE","343","OTHER OFFENSES RELATED TO THEF","PL 1651502","M","M","1","0","25-44","F","BLACK","981626","199856","40.715236","-74.009464","POINT (-74.009464 40.715236)"
"279767580","2023-12-31T00:00:00.000","502","CONTROLLED SUBSTANCE,POSSESS.","117","DANGEROUS DRUGS","PL 2201611","F","K","73","0","18-24","M","WHITE HISPANIC","1008682","186426","40.678339","-73.911913","POINT (-73.911913 40.678339)"
"279761334","2023-12-31T00:00:00.000","579","CANNABIS POSSESSION, 2&1","250","CANNABIS RELATED OFFENSES","PL 2223501","F","Q","113","0","25-44","M","BLACK","1045043","191113","40.69102897810564","-73.78078223251536","POINT (-73.78078223251536 40.69102897810564)"
"279750848","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","K","70","0","18-24","F","BLACK","999359","169275","40.631284","-73.945564","POINT (-73.945564 40.631284)"
"279741099","2023-12-31T00:00:00.000","904","INTOXICATED DRIVING,ALCOHOL","119","INTOXICATED/IMPAIRED DRIVING","VTL11920E3","F","K","73","0","45-64","M","WHITE HISPANIC","1008096","183714","40.67089708151963","-73.91403805697176","POINT (-73.91403805697176 40.67089708151963)"
"279755738","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200002","M","M","23","2","<18","F","BLACK","1001932","228925","40.795005","-73.936137","POINT (-73.936137 40.795005)"
"279743075","2023-12-31T00:00:00.000","905","INTOXICATED DRIVING,ALCOHOL","347","INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","Q","104","11","25-44","F","UNKNOWN","1011935","203852","40.72615998537531","-73.90011616052219","POINT (-73.90011616052219 40.72615998537531)"
"279752530","2023-12-31T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402000","F","K","62","0","25-44","M","WHITE HISPANIC","983950","157510","40.599007","-74.001077","POINT (-74.001077 40.599007)"
"279733698","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","M","14","0","25-44","M","WHITE HISPANIC","985927","213077","40.75152348693427","-73.99394730218468","POINT (-73.99394730218468 40.75152348693427)"
"279767574","2023-12-31T00:00:00.000","792","CRIMINAL POSSESSION WEAPON","118","DANGEROUS WEAPONS","PL 265031B","F","B","46","0","18-24","M","BLACK","1010256","248770","40.84945286686186","-73.90599986315169","POINT (-73.90599986315169 40.84945286686186)"
"279757489","2023-12-31T00:00:00.000","779","PUBLIC ADMINISTRATION,UNCLASSI","126","MISCELLANEOUS PENAL LAW","PL 215510B","F","K","77","2","18-24","M","BLACK","1004447","185438","40.675638","-73.927184","POINT (-73.927184 40.675638)"
"279762516","2023-12-31T00:00:00.000","114","OBSTR BREATH/CIRCUL","344","ASSAULT 3 & RELATED OFFENSES","PL 121110A","M","M","14","17","25-44","M","BLACK","990513","213251","40.752001","-73.977392","POINT (-73.977392 40.752001)"
"279738730","2023-12-31T00:00:00.000","905","INTOXICATED DRIVING,ALCOHOL","347","INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","Q","115","0","18-24","M","WHITE HISPANIC","1018842","214963","40.7566325691504","-73.87513950341157","POINT (-73.87513950341157 40.7566325691504)"
"279734468","2023-12-31T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","70","0","25-44","M","WHITE HISPANIC","993980","170246","40.633957","-73.964942","POINT (-73.964942 40.633957)"
"279762522","2023-12-31T00:00:00.000","802","ALCOHOLIC BEVERAGE CONTROL LAW","346","ALCOHOLIC BEVERAGE CONTROL LAW","ABC0106012","M","Q","103","0","25-44","F","ASIAN / PACIFIC ISLANDER","1050208","199279","40.713406","-73.762077","POINT (-73.762077 40.713406)"
"279763517","2023-12-31T00:00:00.000","106","ASSAULT POLICE/PEACE OFFICER","106","FELONY ASSAULT","PL 1200503","F","Q","104","0","25-44","M","WHITE HISPANIC","1007628","196731","40.706629","-73.915677","POINT (-73.915677 40.706629)"
"279738728","2023-12-31T00:00:00.000","782","WEAPONS, POSSESSION, ETC","236","DANGEROUS WEAPONS","PL 2650101","M","M","6","3","25-44","M","BLACK","982319","206311","40.732953","-74.006965","POINT (-74.006965 40.732953)"
"279749411","2023-12-31T00:00:00.000","779","PUBLIC ADMINISTRATION,UNCLASSI","126","MISCELLANEOUS PENAL LAW","PL 215510B","F","Q","102","0","45-64","M","WHITE HISPANIC","1031076","193778","40.69843","-73.831128","POINT (-73.831128 40.69843)"
"279761324","2023-12-31T00:00:00.000","106","ASSAULT POLICE/PEACE OFFICER","106","FELONY ASSAULT","PL 1200800","F","K","81","0","18-24","M","BLACK","1003927","186763","40.67927614498881","-73.92905788850503","POINT (-73.92905788850503 40.67927614498881)"
"279738711","2023-12-31T00:00:00.000","779","PUBLIC ADMINISTRATION,UNCLASSI","126","MISCELLANEOUS PENAL LAW","PL 215510D","F","B","44","0","25-44","F","WHITE HISPANIC","1009062","246910","40.844353","-73.910321","POINT (-73.910321 40.844353)"
"279752529","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","60","14","25-44","M","WHITE","993584","152635","40.585621","-73.966393","POINT (-73.966393 40.585621)"
"279757487","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","79","0","25-44","M","BLACK","999507","190206","40.688736","-73.944984","POINT (-73.944984 40.688736)"
"279749403","2023-12-31T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200502","F","K","67","0","45-64","M","ASIAN / PACIFIC ISLANDER","999236","175776","40.64913","-73.945994","POINT (-73.945994 40.64913)"
"279755731","2023-12-31T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200501","F","K","61","0","18-24","M","WHITE","996716","160551","40.607343","-73.955102","POINT (-73.955102 40.607343)"
"279763501","2023-12-31T00:00:00.000","652","RIOT 2/INCITING","361","OFF. AGNST PUB ORD SENSBLTY &","PL 2400800","M","B","40","2","25-44","M","BLACK","1005529","233942","40.808769","-73.92313","POINT (-73.92313 40.808769)"
"279738714","2023-12-31T00:00:00.000","969","TRAFFIC,UNCLASSIFIED INFRACTIO","881","OTHER TRAFFIC INFRACTION","VTL051101A","M","B","44","0","25-44","M","BLACK","1008110","244858","40.83872163845646","-73.91377061389228","POINT (-73.91377061389228 40.83872163845646)"
"279741097","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","69","0","25-44","F","BLACK","1015857","171572","40.637548","-73.886116","POINT (-73.886116 40.637548)"
"279746974","2023-12-31T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1600500","F","M","24","0","45-64","M","BLACK","994260","229982","40.797917765510576","-73.96384631347463","POINT (-73.96384631347463 40.797917765510576)"
"279734474","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200003","M","Q","110","0","25-44","M","WHITE HISPANIC","1023731","209086","40.740483","-73.857525","POINT (-73.857525 40.740483)"
"279754138","2023-12-31T00:00:00.000","441","LARCENY,GRAND OF AUTO","110","GRAND LARCENY OF MOTOR VEHICLE","PL 1553008","F","M","33","0","25-44","M","BLACK HISPANIC","1002326","246396","40.84295673222784","-73.9346696769974","POINT (-73.9346696769974 40.84295673222784)"
"279762504","2023-12-31T00:00:00.000","652","RIOT 2/INCITING","361","OFF. AGNST PUB ORD SENSBLTY &","PL 2400800","M","B","40","2","18-24","M","BLACK","1005529","233942","40.808769","-73.92313","POINT (-73.92313 40.808769)"
"279745578","2023-12-31T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 160102A","F","Q","110","0","18-24","F","WHITE HISPANIC","1020894","210491","40.744351","-73.867756","POINT (-73.867756 40.744351)"
"279739169","2023-12-31T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1601001","F","B","48","1","18-24","M","BLACK","1015722","246426","40.843004","-73.886251","POINT (-73.886251 40.843004)"
"279755726","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","72","0","25-44","M","WHITE HISPANIC","977411","172435","40.63997","-74.024642","POINT (-74.024642 40.63997)"
"279750852","2023-12-31T00:00:00.000","779","PUBLIC ADMINISTRATION,UNCLASSI","126","MISCELLANEOUS PENAL LAW","PL 215510B","F","Q","102","0","45-64","M","WHITE HISPANIC","1031076","193778","40.69843","-73.831128","POINT (-73.831128 40.69843)"
"279744146","2023-12-31T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402501","F","B","49","0","25-44","M","BLACK","1020673","255267","40.86725","-73.868309","POINT (-73.868309 40.86725)"
"279741100","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M","34","0","25-44","M","BLACK","1008010","256689","40.871194458397234","-73.91409007761175","POINT (-73.91409007761175 40.871194458397234)"
"279743067","2023-12-31T00:00:00.000","750","RESISTING ARREST","359","OFFENSES AGAINST PUBLIC ADMINI","PL 2053000","M","B","48","0","18-24","M","WHITE","1012018","246870","40.84423256411802","-73.89963888966174","POINT (-73.89963888966174 40.84423256411802)"
"279754133","2023-12-31T00:00:00.000","782","WEAPONS, POSSESSION, ETC","236","DANGEROUS WEAPONS","PL 2650101","M","K","79","2","18-24","M","ASIAN / PACIFIC ISLANDER","998286","189884","40.687855","-73.949388","POINT (-73.949388 40.687855)"
"279748160","2023-12-31T00:00:00.000","268","CRIMINAL MIS 2 & 3","121","CRIMINAL MISCHIEF & RELATED OF","PL 1450502","F","K","60","0","25-44","M","BLACK","989992","155381","40.59316","-73.979324","POINT (-73.979324 40.59316)"
"279752536","2023-12-31T00:00:00.000","579","CANNABIS POSSESSION, 2&1","250","CANNABIS RELATED OFFENSES","PL 2224001","F","Q","113","3","25-44","F","BLACK","1046315","187088","40.6799807384666","-73.7762339071953","POINT (-73.7762339071953 40.6799807384666)"
"279755732","2023-12-31T00:00:00.000","419","LARCENY,GRAND FROM PERSON,UNCL","109","GRAND LARCENY","PL 1553005","F","M","14","0","25-44","M","BLACK","987215","215403","40.75790742756201","-73.98929757361398","POINT (-73.98929757361398 40.75790742756201)"
"279733466","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","Q","109","0","25-44","M","BLACK","1032084","216954","40.762037","-73.827328","POINT (-73.827328 40.762037)"
"279763803","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q","102","0","25-44","M","WHITE HISPANIC","1023742","190143","40.688489","-73.857597","POINT (-73.857597 40.688489)"
"279740758","2023-12-31T00:00:00.000","441","LARCENY,GRAND OF AUTO","110","GRAND LARCENY OF MOTOR VEHICLE","PL 1553008","F","K","75","0","18-24","M","BLACK","1017987","181155","40.66384103590596","-73.87839504478633","POINT (-73.87839504478633 40.66384103590596)"
"279763799","2023-12-31T00:00:00.000","268","CRIMINAL MIS 2 & 3","121","CRIMINAL MISCHIEF & RELATED OF","PL 1451000","F","M","23","0","25-44","F","BLACK","1001923","227875","40.792123","-73.936173","POINT (-73.936173 40.792123)"
"279761322","2023-12-31T00:00:00.000","779","PUBLIC ADMINISTRATION,UNCLASSI","126","MISCELLANEOUS PENAL LAW","PL 215510B","F","K","67","0","45-64","M","BLACK","1002285","172675","40.640612","-73.935013","POINT (-73.935013 40.640612)"
"279734466","2023-12-31T00:00:00.000","511","CONTROLLED SUBSTANCE, POSSESSI","235","DANGEROUS DRUGS","PL 2200300","M","K","84","1","45-64","M","WHITE HISPANIC","990141","188391","40.68376454457041","-73.97875956361523","POINT (-73.97875956361523 40.68376454457041)"
"279734455","2023-12-31T00:00:00.000","792","CRIMINAL POSSESSION WEAPON","118","DANGEROUS WEAPONS","PL 2650303","F","B","45","0","25-44","M","BLACK","1031237","257081","40.872179","-73.830101","POINT (-73.830101 40.872179)"
"279754132","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","K","70","0","45-64","F","BLACK","999359","169275","40.631284","-73.945564","POINT (-73.945564 40.631284)"
"279763506","2023-12-31T00:00:00.000","705","FORGERY,ETC.-MISD.","358","OFFENSES INVOLVING FRAUD","PL 1700500","M","B","40","0","25-44","M","WHITE HISPANIC","1003403","235657","40.813481","-73.930807","POINT (-73.930807 40.813481)"
"279766987","2023-12-31T00:00:00.000","905","INTOXICATED DRIVING,ALCOHOL","347","INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","Q","114","11","25-44","M","BLACK HISPANIC","1007788","219633","40.7694951184418","-73.9150241703895","POINT (-73.9150241703895 40.7694951184418)"
"279739178","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q","103","0","25-44","F","BLACK","1041014","191303","40.691578","-73.795306","POINT (-73.795306 40.691578)"
"279757491","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","K","84","0","45-64","M","BLACK","988837","191028","40.691005","-73.983456","POINT (-73.983456 40.691005)"
"279754128","2023-12-31T00:00:00.000","115","RECKLESS ENDANGERMENT 2","355","OFFENSES AGAINST THE PERSON","PL 1202000","M","B","46","0","25-44","M","WHITE HISPANIC","1010582","247159","40.845030182818725","-73.90482784549057","POINT (-73.90482784549057 40.845030182818725)"
"279763804","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","Q","100","0","45-64","M","BLACK","1032564","151732","40.58301367709434","-73.82606297980699","POINT (-73.82606297980699 40.58301367709434)"
"279762503","2023-12-31T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402501","F","B","40","0","45-64","F","BLACK","1009027","237887","40.819586","-73.910482","POINT (-73.910482 40.819586)"
"279763515","2023-12-31T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","M","26","0","18-24","F","UNKNOWN","997529","235329","40.812592","-73.952026","POINT (-73.952026 40.812592)"
"279748168","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","Q","115","0","45-64","M","WHITE","1015767","211591","40.747391","-73.886252","POINT (-73.886252 40.747391)"
"279746971","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B","40","0","45-64","F","BLACK","1006984","238152","40.82032","-73.91786","POINT (-73.91786 40.82032)"
"279733702","2023-12-31T00:00:00.000","841","PUBLIC HEALTH LAW,UNCLASSIFIED","364","OTHER STATE LAWS (NON PENAL LA","PHL3380000","M","M","14","0","45-64","M","WHITE","986631","214350","40.755018","-73.991405","POINT (-73.991405 40.755018)"
"279745572","2023-12-31T00:00:00.000","681","CHILD, ENDANGERING WELFARE","233","SEX CRIMES","PL 2601001","M","M","24","0","25-44","M","BLACK HISPANIC","993369","229307","40.7960743128304","-73.9670667458109","POINT (-73.9670667458109 40.7960743128304)"
"279754141","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q","106","0","45-64","M","WHITE HISPANIC","1037125","187410","40.680917","-73.809361","POINT (-73.809361 40.680917)"
"279760045","2023-12-31T00:00:00.000","792","CRIMINAL POSSESSION WEAPON","118","DANGEROUS WEAPONS","PL 265031B","F","Q","114","0","45-64","M","WHITE","1010097","222262","40.77669631096398","-73.90667665496079","POINT (-73.90667665496079 40.77669631096398)"
"279739233","2023-12-31T00:00:00.000","779","PUBLIC ADMINISTRATION,UNCLASSI","126","MISCELLANEOUS PENAL LAW","PL 215510B","F","M","32","0","25-44","M","BLACK","1002113","242932","40.833452","-73.935448","POINT (-73.935448 40.833452)"
"279760038","2023-12-31T00:00:00.000","905","INTOXICATED DRIVING,ALCOHOL","347","INTOXICATED & IMPAIRED DRIVING","VTL1192000","M","B","41","0","45-64","M","BLACK HISPANIC","1012791","238814","40.82211871477908","-73.89687933622004","POINT (-73.89687933622004 40.82211871477908)"
"279748159","2023-12-31T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200512","F","B","42","0","25-44","M","WHITE HISPANIC","1014841","240739","40.827396","-73.889462","POINT (-73.889462 40.827396)"
"279764520","2023-12-31T00:00:00.000","905","INTOXICATED DRIVING,ALCOHOL","347","INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","Q","108","0","45-64","M","BLACK HISPANIC","1007293","209962","40.74294373289718","-73.91684294834832","POINT (-73.91684294834832 40.74294373289718)"
"279757485","2023-12-31T00:00:00.000","114","OBSTR BREATH/CIRCUL","344","ASSAULT 3 & RELATED OFFENSES","PL 1211100","M","B","42","0","65+","M","BLACK","1012461","242850","40.8332","-73.898053","POINT (-73.898053 40.8332)"
"279766984","2023-12-31T00:00:00.000","419","LARCENY,GRAND FROM PERSON,UNCL","109","GRAND LARCENY","PL 1553005","F","M","14","1","45-64","M","WHITE HISPANIC","987078","215157","40.757232265258125","-73.98979219054627","POINT (-73.98979219054627 40.757232265258125)"
"279755727","2023-12-31T00:00:00.000","439","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","109","GRAND LARCENY","PL 1553001","F","K","84","0","25-44","M","BLACK","988174","190975","40.690859","-73.985848","POINT (-73.985848 40.690859)"
"279757497","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","Q","110","0","25-44","M","ASIAN / PACIFIC ISLANDER","1017325","209472","40.741569","-73.880641","POINT (-73.880641 40.741569)"
"279758831","2023-12-31T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200501","F","B","44","0","25-44","M","BLACK","1004315","243965","40.83628","-73.927488","POINT (-73.927488 40.83628)"
"279761333","2023-12-31T00:00:00.000","792","CRIMINAL POSSESSION WEAPON","118","DANGEROUS WEAPONS","PL 265031B","F","Q","108","0","25-44","M","BLACK","998406","214025","40.754116","-73.948903","POINT (-73.948903 40.754116)"
"279757496","2023-12-31T00:00:00.000","259","CRIMINAL MISCHIEF,UNCLASSIFIED 4","351","CRIMINAL MISCHIEF & RELATED OF","PL 1450003","M","Q","106","0","45-64","M","ASIAN / PACIFIC ISLANDER","1031898","186189","40.677597","-73.828216","POINT (-73.828216 40.677597)"
"279760044","2023-12-31T00:00:00.000","848","NY STATE LAWS,UNCLASSIFIED MIS","364","OTHER STATE LAWS (NON PENAL LA","RPA0076801","M","Q","100","0","65+","M","WHITE","1025972","148426","40.573975","-73.849815","POINT (-73.849815 40.573975)"
"279749413","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","S","120","0","25-44","M","WHITE HISPANIC","963180","173627","40.64322","-74.075921","POINT (-74.075921 40.64322)"
"279733455","2023-12-31T00:00:00.000","792","CRIMINAL POSSESSION WEAPON","118","DANGEROUS WEAPONS","PL 265031B","F","M","32","0","18-24","M","BLACK","1000851","238155","40.82034045613332","-73.94002101776616","POINT (-73.94002101776616 40.82034045613332)"
"279758836","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","70","0","<18","M","BLACK","994144","176854","40.652096","-73.964341","POINT (-73.964341 40.652096)"
"279743079","2023-12-31T00:00:00.000","203","TRESPASS 3, CRIMINAL","352","CRIMINAL TRESPASS","PL 140100A","M","Q","114","0","18-24","M","WHITE","1002037","222120","40.776327","-73.935776","POINT (-73.935776 40.776327)"
"279763273","2023-12-31T00:00:00.000","904","INTOXICATED DRIVING,ALCOHOL","119","INTOXICATED/IMPAIRED DRIVING","VTL11920E2","F","K","69","0","25-44","M","BLACK","1014999","173416","40.642610067246004","-73.8892005572125","POINT (-73.8892005572125 40.642610067246004)"
"279741103","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q","106","0","25-44","M","ASIAN / PACIFIC ISLANDER","1031015","187374","40.680854","-73.831391","POINT (-73.831391 40.680854)"
"279744149","2023-12-31T00:00:00.000","905","INTOXICATED DRIVING,ALCOHOL","347","INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","Q","114","11","25-44","M","UNKNOWN","1009013","219504","40.76912942962525","-73.9106007124873","POINT (-73.9106007124873 40.76912942962525)"
"279748163","2023-12-31T00:00:00.000","848","NY STATE LAWS,UNCLASSIFIED MIS","364","OTHER STATE LAWS (NON PENAL LA","RPA0076801","M","K","78","0","65+","F","ASIAN / PACIFIC ISLANDER","987542","181552","40.664996","-73.988132","POINT (-73.988132 40.664996)"
"279761323","2023-12-31T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 160102A","F","K","84","0","25-44","F","BLACK","987295","190704","40.690115","-73.989019","POINT (-73.989019 40.690115)"
"279779734","2023-12-31T00:00:00.000","792","CRIMINAL POSSESSION WEAPON","118","DANGEROUS WEAPONS","PL 265031B","F","B","46","0","<18","M","BLACK HISPANIC","1009588","249449","40.851318462027784","-73.90841181851003","POINT (-73.90841181851003 40.851318462027784)"
"279763268","2023-12-31T00:00:00.000","779","PUBLIC ADMINISTRATION,UNCLASSI","126","MISCELLANEOUS PENAL LAW","PL 215510B","F","B","41","0","25-44","M","BLACK HISPANIC","1015482","237651","40.81892","-73.887162","POINT (-73.887162 40.81892)"
"279761326","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M","30","0","25-44","F","WHITE HISPANIC","996942","237602","40.818831","-73.954142","POINT (-73.954142 40.818831)"
"279750855","2023-12-31T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","S","123","0","25-44","F","WHITE","927241","126644","40.514103","-74.205028","POINT (-74.205028 40.514103)"
"279760043","2023-12-31T00:00:00.000","464","JOSTLING","230","JOSTLING","PL 1652501","M","M","18","0","18-24","M","BLACK HISPANIC","988099","217000","40.76229044248997","-73.98610578413911","POINT (-73.98610578413911 40.76229044248997)"
"279750849","2023-12-31T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","K","70","0","45-64","F","BLACK","999359","169275","40.631284","-73.945564","POINT (-73.945564 40.631284)"
"279758843","2023-12-31T00:00:00.000","681","CHILD, ENDANGERING WELFARE","233","SEX CRIMES","PL 2601001","M","Q","108","0","25-44","M","WHITE HISPANIC","996424","210017","40.7431245994984","-73.9560680726795","POINT (-73.9560680726795 40.7431245994984)"
